Country/Region,unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,tCO2e per capita,4.86,5.21,5.57,5.83,6.35,6.98,7.13,7.22,7.20,7.06,6.93,7.03,7.15,7.28
United States,tCO2e per capita,20.28,20.34,19.50,17.90,18.42,17.86,17.10,17.45,17.47,16.88,16.39,16.17,16.61,16.10
India,tCO2e per capita,1.08,1.15,1.22,1.32,1.36,1.41,1.53,1.59,1.69,1.72,1.81,1.84,1.92,1.91
Russia,tCO2e per capita,11.23,11.23,11.47,10.71,11.29,11.65,11.73,11.28,11.28,11.26,11.21,11.39,11.71,11.63
Japan,tCO2e per capita,9.91,10.18,9.62,9.08,9.48,9.89,10.23,10.32,9.92,9.62,9.47,9.37,8.98,8.76
Iran,tCO2e per capita,7.14,7.20,7.42,7.50,7.65,7.76,7.95,7.96,8.29,8.16,8.15,8.98,9.23,9.40
Germany,tCO2e per capita,10.66,10.35,10.41,9.65,10.18,10.08,10.12,10.31,9.79,9.74,9.72,9.52,9.11,8.44
Indonesia,tCO2e per capita,1.51,1.62,1.77,1.87,1.77,2.07,2.12,1.63,1.63,1.96,2.17,2.01,2.15,2.28
South Korea,tCO2e per capita,9.61,10.13,10.31,10.28,11.42,11.78,11.63,11.73,11.56,11.67,12.07,12.08,12.30,11.82
Saudi Arabia,tCO2e per capita,17.60,15.35,16.70,17.49,18.88,17.61,19.32,18.00,19.47,20.35,17.44,17.51,17.11,16.99
Canada,tCO2e per capita,17.53,18.07,17.31,16.13,16.34,16.50,16.41,16.43,16.25,16.13,15.62,15.68,15.83,15.34
South Africa,tCO2e per capita,9.21,9.46,9.94,9.95,9.12,9.11,8.73,8.49,8.83,8.15,8.19,8.18,8.17,8.17
Brazil,tCO2e per capita,1.82,1.88,1.98,1.86,2.10,2.18,2.31,2.46,2.58,2.42,2.32,2.33,2.23,2.21
Mexico,tCO2e per capita,4.43,4.39,4.45,4.23,4.06,4.18,4.23,4.12,4.00,3.96,3.93,3.70,3.57,3.44
Australia,tCO2e per capita,18.97,19.20,19.03,18.78,18.41,18.09,17.88,17.21,16.79,16.86,16.99,16.87,16.65,16.20
Turkey,tCO2e per capita,4.10,4.49,4.39,4.42,4.35,4.62,4.74,4.55,4.68,4.86,5.03,5.24,5.09,4.86
United Kingdom,tCO2e per capita,9.33,9.12,8.81,7.94,8.16,7.43,7.66,7.45,6.80,6.49,6.08,5.87,5.72,5.53
Italy,tCO2e per capita,8.52,8.35,8.10,7.15,7.32,7.11,6.74,6.10,5.72,5.93,5.88,5.81,5.76,5.59
France,tCO2e per capita,6.54,6.33,6.18,5.90,5.99,5.55,5.54,5.54,5.04,5.09,5.11,5.17,4.95,4.83
Poland,tCO2e per capita,8.84,8.82,8.66,8.30,8.80,8.77,8.57,8.47,8.15,8.24,8.53,8.88,8.89,8.50
Kazakhstan,tCO2e per capita,14.48,14.72,14.62,13.93,15.37,14.53,14.69,14.94,16.13,16.45,16.21,17.07,17.49,16.95
Thailand,tCO2e per capita,3.46,3.49,3.43,3.64,3.82,3.76,3.98,4.20,4.09,4.12,4.08,4.14,4.21,4.14
Spain,tCO2e per capita,8.12,8.15,7.33,6.41,6.09,6.09,5.96,5.42,5.49,5.85,5.61,5.90,5.76,5.37
Malaysia,tCO2e per capita,6.83,6.84,7.43,7.10,7.68,7.59,7.42,7.95,8.07,7.71,8.04,8.00,7.90,7.83
Pakistan,tCO2e per capita,0.88,0.93,0.91,0.88,0.86,0.84,0.82,0.79,0.79,0.85,1.00,1.12,1.17,1.15
Vietnam,tCO2e per capita,1.17,1.18,1.31,1.41,1.55,1.63,1.51,1.55,1.74,1.99,1.98,1.93,2.22,2.57
Egypt,tCO2e per capita,2.29,2.38,2.45,2.50,2.40,2.50,2.43,2.34,2.45,2.37,2.47,2.59,2.55,2.46
Ukraine,tCO2e per capita,7.11,7.23,7.04,6.02,6.41,6.74,6.67,6.54,5.69,4.96,5.20,4.98,5.19,5.03
Iraq,tCO2e per capita,3.58,2.20,3.25,3.57,3.73,4.40,4.79,4.94,4.80,4.66,5.31,5.56,5.50,5.63
United Arab Emirates,tCO2e per capita,22.97,21.60,21.72,20.90,18.24,18.91,23.78,24.12,23.43,25.87,24.42,19.67,19.58,19.52
Argentina,tCO2e per capita,4.44,4.39,4.69,4.42,4.58,4.61,4.59,4.51,4.42,4.46,4.38,4.26,4.16,3.98
Algeria,tCO2e per capita,2.98,3.17,3.14,3.40,3.27,3.27,3.43,3.47,3.68,3.80,3.67,3.71,3.89,3.99
Netherlands,tCO2e per capita,10.56,10.54,10.67,10.29,10.96,10.13,9.90,9.86,9.41,9.82,9.76,9.60,9.30,8.93
Philippines,tCO2e per capita,0.76,0.79,0.85,0.83,0.88,0.88,0.91,0.97,1.01,1.10,1.18,1.28,1.30,1.33
Nigeria,tCO2e per capita,0.69,0.64,0.63,0.49,0.71,0.80,0.70,0.71,0.72,0.63,0.63,0.68,0.69,0.70
Venezuela,tCO2e per capita,5.96,5.50,6.10,6.05,6.47,5.90,6.50,6.14,6.13,5.68,5.47,4.99,4.49,4.09
Uzbekistan,tCO2e per capita,4.51,4.43,4.51,3.83,3.62,3.85,3.86,3.61,3.36,3.25,3.30,3.37,3.46,3.28
Qatar,tCO2e per capita,61.79,51.62,44.73,41.45,38.74,39.12,42.03,35.39,43.10,41.22,38.49,38.74,39.27,38.61
Kuwait,tCO2e per capita,30.92,29.90,30.99,30.82,29.84,27.23,29.88,26.54,24.66,25.10,25.67,25.83,25.19,25.56
Colombia,tCO2e per capita,1.44,1.38,1.51,1.62,1.69,1.67,1.73,1.94,1.94,1.81,2.09,1.87,1.86,2.03
Bangladesh,tCO2e per capita,0.30,0.30,0.31,0.34,0.37,0.38,0.40,0.40,0.43,0.47,0.48,0.50,0.53,0.63
Czech Republic,tCO2e per capita,12.35,12.45,11.84,11.03,11.22,10.96,10.56,10.12,9.89,9.94,10.09,9.97,9.82,9.47
Belgium,tCO2e per capita,11.75,11.34,11.22,9.98,10.51,9.52,9.22,9.20,8.64,8.96,8.81,8.74,8.77,8.68
Turkmenistan,tCO2e per capita,10.26,11.48,11.48,10.02,11.23,12.02,12.25,12.37,12.45,12.62,12.39,12.19,13.34,14.41
Chile,tCO2e per capita,3.91,4.28,4.24,3.90,4.18,4.53,4.58,4.65,4.36,4.54,4.62,4.55,4.58,4.45
Romania,tCO2e per capita,4.96,5.19,5.14,4.22,4.16,4.44,4.30,3.85,3.89,3.92,3.85,3.99,3.95,3.88
Morocco,tCO2e per capita,1.54,1.61,1.68,1.65,1.74,1.73,1.78,1.74,1.74,1.76,1.74,1.79,1.81,1.97
Oman,tCO2e per capita,15.13,16.55,15.31,14.09,15.37,16.38,16.78,16.23,15.00,14.44,13.40,14.04,14.71,14.41
Austria,tCO2e per capita,9.30,8.95,8.84,8.09,8.61,8.33,7.97,7.99,7.50,7.67,7.68,7.91,7.55,7.72
Greece,tCO2e per capita,10.21,10.37,10.03,9.40,8.75,8.51,8.28,7.45,7.22,6.93,6.62,6.96,6.69,6.27
Mongolia,tCO2e per capita,3.68,4.66,4.57,4.89,5.08,7.73,12.40,15.12,10.06,7.75,8.29,10.97,20.35,20.31
Israel,tCO2e per capita,8.81,8.75,9.30,8.53,8.96,8.83,9.45,8.06,7.58,7.75,7.48,7.17,7.00,7.09
Belarus,tCO2e per capita,6.68,6.65,6.89,6.46,6.65,6.56,6.66,6.73,6.66,6.18,6.34,6.40,6.52,6.60
Serbia,tCO2e per capita,8.21,8.08,7.03,6.26,6.27,6.77,6.07,6.22,5.22,6.17,6.38,6.48,6.60,7.87
Peru,tCO2e per capita,1.01,1.22,1.42,1.78,1.97,1.67,1.84,1.44,1.63,1.60,1.69,1.67,1.69,1.68
Hungary,tCO2e per capita,5.95,5.84,5.73,5.17,5.21,5.05,4.72,4.42,4.45,4.74,4.83,5.08,5.08,5.03
Portugal,tCO2e per capita,6.16,5.91,5.68,5.41,5.01,4.91,4.75,4.61,4.61,5.05,4.89,5.31,5.01,4.73
Libya,tCO2e per capita,8.95,8.26,9.13,9.32,9.86,6.28,8.34,8.76,9.17,7.92,6.60,6.65,6.77,6.85
Sweden,tCO2e per capita,5.91,5.79,5.52,5.08,5.66,5.20,4.90,4.70,4.47,4.42,4.33,4.21,4.10,4.16
Norway,tCO2e per capita,9.54,9.82,9.52,9.09,9.46,9.19,8.97,8.86,8.74,8.74,8.50,8.26,8.25,7.94
Bulgaria,tCO2e per capita,6.83,7.39,7.22,6.15,6.47,7.24,6.62,5.87,6.25,6.71,6.36,6.71,6.20,6.02
Finland,tCO2e per capita,12.99,12.62,11.03,10.47,11.95,10.52,9.46,9.51,8.72,8.05,8.59,8.11,8.31,7.55
Ecuador,tCO2e per capita,2.06,2.36,2.03,2.20,2.32,2.45,2.40,2.51,2.71,2.51,2.40,2.34,2.45,2.33
Azerbaijan,tCO2e per capita,4.61,3.55,4.05,3.56,3.38,3.59,3.77,3.74,3.88,3.86,3.82,3.70,3.77,3.97
Singapore,tCO2e per capita,9.78,10.36,11.90,18.06,11.15,5.84,9.06,10.07,10.09,11.23,7.18,6.96,6.79,6.83
North Korea,tCO2e per capita,3.17,2.62,2.89,2.19,2.04,1.47,1.51,1.08,1.22,0.98,1.09,0.86,1.49,1.51
Angola,tCO2e per capita,1.10,1.19,1.17,1.22,1.24,1.25,1.35,1.28,1.64,1.22,1.18,1.26,1.22,1.19
Trinidad and Tobago,tCO2e per capita,32.56,34.57,33.55,33.48,35.36,34.93,33.88,33.42,34.02,32.93,29.07,28.88,27.24,27.14
Switzerland,tCO2e per capita,6.06,5.74,5.85,5.62,5.76,5.18,5.28,5.34,4.79,4.68,4.68,4.52,4.33,4.39
Ireland,tCO2e per capita,11.14,10.84,10.55,9.30,9.15,8.31,8.31,8.05,7.90,8.20,8.42,8.09,7.97,7.51
New Zealand,tCO2e per capita,8.95,8.66,8.82,8.08,8.03,7.81,8.17,7.93,7.86,7.80,7.30,7.54,7.25,7.43
Bahrain,tCO2e per capita,20.26,25.84,26.63,23.71,23.43,22.40,21.02,23.72,23.31,23.82,22.02,21.93,20.13,20.93
Slovakia,tCO2e per capita,7.94,7.65,7.72,7.01,7.15,7.06,6.66,6.57,6.21,6.36,6.43,6.63,6.63,6.11
Laos,tCO2e per capita,0.30,0.31,0.35,0.43,0.48,0.50,0.53,0.61,0.65,1.31,2.08,2.58,4.57,4.58
Denmark,tCO2e per capita,10.93,10.01,9.32,8.84,8.86,7.93,7.12,7.43,6.65,6.19,6.46,6.02,5.98,5.51
Tunisia,tCO2e per capita,2.22,2.30,2.34,2.31,2.55,2.38,2.43,2.45,2.52,2.62,2.57,2.59,2.62,2.65
Lebanon,tCO2e per capita,3.11,2.88,3.66,4.35,4.04,3.90,4.03,3.75,3.80,3.94,3.95,4.10,4.02,4.11
Dominican Republic,tCO2e per capita,2.07,2.14,2.14,2.07,2.12,2.17,2.16,2.09,2.13,2.28,2.37,2.31,2.38,2.55
Syria,tCO2e per capita,2.77,3.31,3.24,2.90,2.84,2.66,2.14,1.83,1.61,1.59,1.63,1.55,1.53,1.58
Bosnia and Herzegovina,tCO2e per capita,4.62,4.64,5.32,5.50,5.71,6.49,6.14,6.15,5.55,5.38,6.42,6.50,6.64,8.06
Myanmar,tCO2e per capita,0.26,0.26,0.19,0.20,0.26,0.30,0.23,0.25,0.31,0.42,0.48,0.44,0.49,0.49
